resp,mod,modlvl,est
bio,cc_type2,modgrass,-1.2156307984123518
bio,cc_type2,modnon-grass,-0.21324481575207452
bio,cc_type2,modgrass,-0.9964795437780644
bio,cc_type2,modnon-grass,-0.0017328174233050826
bio,cc_type2,modgrass,-0.9963877683912318
bio,cc_type2,modnon-grass,-0.22846984009771282
bio,cc_type2,modgrass,-0.7579387963788302
bio,cc_type2,modnon-grass,-0.01838066352526535
bio,cc_type2,modgrass,-1.6041340050980906
bio,cc_type2,modnon-grass,-0.26761213926157784
bio,cc_type2,modgrass,-1.230810744567969
bio,cc_type2,modnon-grass,-0.5992526882415518
bio,cc_type2,modgrass,-0.5273893045734878
bio,cc_type2,modnon-grass,-0.16110549427103546
bio,cc_type2,modgrass,-1.5127994026267175
bio,cc_type2,modnon-grass,-0.4652426003222116
bio,cc_type2,modgrass,-1.5644482516976814
bio,cc_type2,modnon-grass,-0.3476260465574253
bio,cc_type2,modgrass,-1.120184829805154
bio,cc_type2,modnon-grass,-0.10807841022297002
bio,cc_type2,modgrass,-1.0316403688862705
bio,cc_type2,modnon-grass,-0.2840685845015157
bio,cc_type2,modgrass,-0.9015598129507456
bio,cc_type2,modnon-grass,-0.18388504642476716
bio,cc_type2,modgrass,-0.8424334062191485
bio,cc_type2,modnon-grass,-0.3083501278237714
bio,cc_type2,modgrass,-1.4245021600913466
bio,cc_type2,modnon-grass,-0.7721230782103647
bio,cc_type2,modgrass,-1.5766865369057013
bio,cc_type2,modnon-grass,-0.4437461032953251
bio,cc_type2,modgrass,-1.14394135668723
bio,cc_type2,modnon-grass,0.25169459118397314
bio,cc_type2,modgrass,-1.3480749340795393
bio,cc_type2,modnon-grass,-0.580416181612454
bio,cc_type2,modgrass,-1.2440545736413793
bio,cc_type2,modnon-grass,0.12742741090648252
bio,cc_type2,modgrass,-1.5834146546568155
bio,cc_type2,modnon-grass,-0.4380505001695796
bio,cc_type2,modgrass,-1.2099986573394554
bio,cc_type2,modnon-grass,-0.23259767318132862
bio,cc_type2,modgrass,-1.000999863610226
bio,cc_type2,modnon-grass,-0.09843325060017429
bio,cc_type2,modgrass,-1.1963504340296425
bio,cc_type2,modnon-grass,-0.35397998161757294
bio,cc_type2,modgrass,-1.6206620675882628
bio,cc_type2,modnon-grass,-0.7589142970620906
bio,cc_type2,modgrass,-1.0063720582830744
bio,cc_type2,modnon-grass,-0.21421064186092215
bio,cc_type2,modgrass,-0.9310233584037622
bio,cc_type2,modnon-grass,-0.1833866387486311
bio,cc_type2,modgrass,-0.9181213902866642
bio,cc_type2,modnon-grass,-0.31032231446137376
bio,cc_type2,modgrass,-0.9886187674545793
bio,cc_type2,modnon-grass,-0.4328377489267221
bio,cc_type2,modgrass,-1.024548652624469
bio,cc_type2,modnon-grass,-0.1449583977488486
bio,cc_type2,modgrass,-1.3079497314744584
bio,cc_type2,modnon-grass,-0.0894484718089
bio,cc_type2,modgrass,-1.1713487695755405
bio,cc_type2,modnon-grass,-0.41360159429966414
bio,cc_type2,modgrass,-1.6729038017227293
bio,cc_type2,modnon-grass,-0.32906549490628434
bio,cc_type2,modgrass,-1.2017677443615271
bio,cc_type2,modnon-grass,-0.2640726035354829
bio,cc_type2,modgrass,-1.0996184961123057
bio,cc_type2,modnon-grass,-0.30691918801124235
bio,cc_type2,modgrass,-1.5203764934761441
bio,cc_type2,modnon-grass,-0.5257867158157555
bio,cc_type2,modgrass,-1.3895689633588668
bio,cc_type2,modnon-grass,-0.3726445036095134
bio,cc_type2,modgrass,-1.0372001957482924
bio,cc_type2,modnon-grass,-0.3432478781730438
bio,cc_type2,modgrass,-1.2207913164859934
bio,cc_type2,modnon-grass,0.18007131833483678
bio,cc_type2,modgrass,-1.1083722620871448
bio,cc_type2,modnon-grass,-0.2627459075855885
bio,cc_type2,modgrass,-1.0042917545546408
bio,cc_type2,modnon-grass,0.14835448391862271
bio,cc_type2,modgrass,-1.6440174886676144
bio,cc_type2,modnon-grass,-0.5043755407194457
bio,cc_type2,modgrass,-1.3645838737448823
bio,cc_type2,modnon-grass,-0.13557747619535415
bio,cc_type2,modgrass,-1.0916236909531325
bio,cc_type2,modnon-grass,-0.18813544377564342
bio,cc_type2,modgrass,-1.5124647636777029
bio,cc_type2,modnon-grass,-0.2564083906841012
bio,cc_type2,modgrass,-0.9920336098871471
bio,cc_type2,modnon-grass,-0.07061618146104706
bio,cc_type2,modgrass,-0.844817572501855
bio,cc_type2,modnon-grass,0.15464992915293987
bio,cc_type2,modgrass,-0.855437073403527
bio,cc_type2,modnon-grass,-0.20419031616259403
