obs_no,study,pub_reference,pub_year,loc_state,lat,long,reps,wgt,aridity_index,OM_pct,soil_type,cc_type,cc_type2,cropsys_tillage,msmt_season,msmt_planting,weed_group,ccpl_den_kgha,ccpl_lubdate,ccpl_doy,cc_pest,ccterm_lubdate,ccterm_doy,cc_termest,ccterm_meth,crop_follow,crop_pest,croppl_lubdate,croppl_doy,cc_bio_kgha,cc_growdays,termgap_days,bioLRR,denLRR,yieldLRR,cc_bio_Mgha
1,1,Davis (2010),2010,IL,40.110588,-88.207268,4,2,0.912,2.4,silt loam,grass,grass,N,summer,after,summer annual,33,2018-09-15,258,Y,2019-05-13,133,NA,H,soybean,NA,2019-05-24,144,7100,240,11,-0.5885934418720592,NA,-0.17570382624264919,7.1
2,1,Davis (2010),2010,IL,40.110588,-88.207268,4,2,0.912,2.4,silt loam,legume,non-grass,N,summer,after,summer annual,112,2018-09-15,258,Y,2019-05-13,133,NA,H,soybean,NA,2019-05-24,144,3500,240,11,0.38212127188978395,NA,-0.17425699695722421,3.5
3,1,Davis (2010),2010,IL,40.110588,-88.207268,4,2,0.912,2.4,silt loam,grass,grass,N,summer,after,summer annual,33,2018-09-15,258,Y,2019-05-17,137,NA,M,soybean,NA,2019-05-24,144,7100,244,7,-1.5119963179267508,NA,0.2526918802130296,7.1
4,1,Davis (2010),2010,IL,40.110588,-88.207268,4,2,0.912,2.4,silt loam,legume,non-grass,N,summer,after,summer annual,112,2018-09-15,258,Y,2019-05-17,137,NA,M,soybean,NA,2019-05-24,144,3500,244,7,-0.6308717029767321,NA,-1.5563931861404345,3.5
5,1,Davis (2010),2010,IL,40.110588,-88.207268,4,2,0.912,2.4,silt loam,grass,grass,N,summer,after,summer annual,33,2018-09-15,258,Y,2019-05-12,132,NA,H,soybean,NA,2019-06-02,153,6000,239,21,-1.3844315850457003,NA,-0.00326749139664043,6
6,1,Davis (2010),2010,IL,40.110588,-88.207268,4,2,0.912,2.4,silt loam,legume,non-grass,N,summer,after,summer annual,112,2018-09-15,258,Y,2019-05-12,132,NA,H,soybean,NA,2019-06-02,153,6200,239,21,0.4093935738241425,NA,-0.18946444430633483,6.2
7,1,Davis (2010),2010,IL,40.110588,-88.207268,4,2,0.912,2.4,silt loam,grass,grass,N,summer,after,summer annual,33,2018-09-15,258,Y,2019-05-22,142,NA,M,soybean,NA,2019-06-02,153,6000,249,11,-1.7732618319862326,NA,0.26236426446749106,6
8,1,Davis (2010),2010,IL,40.110588,-88.207268,4,2,0.912,2.4,silt loam,legume,non-grass,N,summer,after,summer annual,112,2018-09-15,258,Y,2019-05-22,142,NA,M,soybean,NA,2019-06-02,153,6200,249,11,0.3316263753547676,NA,0.21019045580274687,6.2
9,1,Davis (2010),2010,IL,40.110588,-88.207268,4,2,0.912,2.4,silt loam,grass,grass,N,summer,after,summer annual,33,2018-09-15,258,Y,2019-05-11,131,NA,H,soybean,NA,2019-05-29,149,6000,238,18,0.30271288619784165,NA,0.13601463204312986,6
10,1,Davis (2010),2010,IL,40.110588,-88.207268,4,2,0.912,2.4,silt loam,legume,non-grass,N,summer,after,summer annual,112,2018-09-15,258,Y,2019-05-11,131,NA,H,soybean,NA,2019-05-29,149,6300,238,18,0.30166338461471637,NA,-0.024667749647343685,6.3
11,1,Davis (2010),2010,IL,40.110588,-88.207268,4,2,0.912,2.4,silt loam,grass,grass,N,summer,after,summer annual,33,2018-09-15,258,Y,2019-05-22,142,NA,M,soybean,NA,2019-05-29,149,6000,249,7,-1.7200409040567766,NA,0.27095527864646746,6
12,1,Davis (2010),2010,IL,40.110588,-88.207268,4,2,0.912,2.4,silt loam,legume,non-grass,N,summer,after,summer annual,112,2018-09-15,258,Y,2019-05-22,142,NA,M,soybean,NA,2019-05-29,149,6300,249,7,-0.7547723027099636,NA,0.33342086961557493,6.3
