obs_no,study,pub_reference,loc_citystate,loc_state,lat,long
1,1,Davis (2010),"Urbana, IL",IL,40.110588,-88.207268
2,1,Davis (2010),"Urbana, IL",IL,40.110588,-88.207268
3,1,Davis (2010),"Urbana, IL",IL,40.110588,-88.207268
4,1,Davis (2010),"Urbana, IL",IL,40.110588,-88.207268
5,1,Davis (2010),"Urbana, IL",IL,40.110588,-88.207268
6,1,Davis (2010),"Urbana, IL",IL,40.110588,-88.207268
7,1,Davis (2010),"Urbana, IL",IL,40.110588,-88.207268
8,1,Davis (2010),"Urbana, IL",IL,40.110588,-88.207268
9,1,Davis (2010),"Urbana, IL",IL,40.110588,-88.207268
10,1,Davis (2010),"Urbana, IL",IL,40.110588,-88.207268
11,1,Davis (2010),"Urbana, IL",IL,40.110588,-88.207268
12,1,Davis (2010),"Urbana, IL",IL,40.110588,-88.207268
13,2,Bernstein et al. (2011),"Arlington, WI",WI,43.3375,-89.37376
14,2,Bernstein et al. (2011),"Arlington, WI",WI,43.3375,-89.37376
15,2,Bernstein et al. (2011),"Arlington, WI",WI,43.3375,-89.37376
16,2,Bernstein et al. (2011),"Arlington, WI",WI,43.3375,-89.37376
17,2,Bernstein et al. (2011),"Arlington, WI",WI,43.3375,-89.37376
18,3,"De Bruin et al., 2005","Waseca, MN",MN,44.0770411,-93.50838429
19,3,"De Bruin et al., 2005","Waseca, MN",MN,44.0770411,-93.50838429
20,3,"De Bruin et al., 2005","Waseca, MN",MN,44.0770411,-93.50838429
21,3,"De Bruin et al., 2005","Waseca, MN",MN,44.0770411,-93.50838429
22,3,"De Bruin et al., 2005","Waseca, MN",MN,44.0770411,-93.50838429
23,3,"De Bruin et al., 2005","Waseca, MN",MN,44.0770411,-93.50838429
24,3,"De Bruin et al., 2005","Waseca, MN",MN,44.0770411,-93.50838429
25,3,"De Bruin et al., 2005","Waseca, MN",MN,44.0770411,-93.50838429
26,3,"De Bruin et al., 2005","Waseca, MN",MN,44.0770411,-93.50838429
27,3,"De Bruin et al., 2005","Waseca, MN",MN,44.0770411,-93.50838429
28,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
29,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
30,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
31,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
32,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
33,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
34,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
35,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
36,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
37,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
38,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
39,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
40,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
41,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
42,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
43,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
44,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
45,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
46,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
47,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
48,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
49,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
50,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
51,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
52,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
53,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
54,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
55,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
56,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
57,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
58,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
59,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
60,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
61,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
62,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
63,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
64,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
65,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
66,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
67,4,"Fisk et al., 2001","East Landsing, MI",MI,42.4056,-85.4008
68,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
69,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
70,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
71,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
72,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
73,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
74,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
75,4,"Fisk et al., 2001","Hickory Corners, MI",MI,42.441427,-85.375561
76,5,Forcella 2013,"Stevens County, MN",MN,45.68333333,-95.8
77,5,Forcella 2013,"Stevens County, MN",MN,45.68333333,-95.8
78,6,Delate et al. 2012,Greenfield IA,IA,41.30317,-94.45955
79,6,Delate et al. 2012,Greenfield IA,IA,41.30317,-94.45955
80,6,Delate et al. 2012,Greenfield IA,IA,41.30317,-94.45955
81,6,Delate et al. 2012,Greenfield IA,IA,41.30317,-94.45955
82,7,"Gallagher et al., 2003","Wooster, OH",OH,40.8051,-81.9351
83,7,"Gallagher et al., 2003","Wooster, OH",OH,40.8051,-81.9351
84,7,"Gallagher et al., 2003","Wooster, OH",OH,40.8051,-81.9351
85,7,"Gallagher et al., 2003","Wooster, OH",OH,40.8051,-81.9351
86,8,"Gieske et al., 2016","Lamberton, MN",MN,45.25,-95.2647
87,8,"Gieske et al., 2016","Lamberton, MN",MN,45.25,-95.2647
88,8,"Gieske et al., 2016","Rosemount, MN",MN,44.72,-93.11223
89,8,"Gieske et al., 2016","Rosemount, MN",MN,44.72,-93.11223
90,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
91,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
92,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
93,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
94,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
95,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
96,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
97,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
98,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
99,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
100,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
101,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
102,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
103,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
104,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
105,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
106,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
107,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
108,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
109,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
110,9,Hoffman et al. 1993,"Columbus, OH",OH,39.9612,-82.9988
